"Year","Site.ID","Quadrat","bay.side","Habitat.Type","Seagrass.x","HabDiff21","HabDiff20"
2022,"SGV 47",1,"W","SH","N","NoDiff","NoDiff"
2022,"SGV 48",1,"W","SF","N","NoDiff","NoDiff"
2022,"SGV 49",1,"W","SF","N","NoDiff","NoDiff"
2022,"SGV 62",1,"W","MF","Y","Gain","Gain"
2022,"SGV 69",1,"W","MF","N","NoDiff","NoDiff"
2022,"SGV 70",1,"W","SF","N","NoDiff","NoDiff"
2022,"SGV 71",1,"W","SF","N","NoDiff","NoDiff"
2022,"SGV 75",1,"W","SF","N","NoDiff","NoDiff"
2022,"SGV 77",1,"W","SF","N","NoDiff","NoDiff"
2022,"SGV 79",1,"W","SF","Y","NoDiff","NoDiff"
2022,"SGV 80",1,"W","MF","N","NoDiff","NoDiff"
2022,"SGV 85",1,"W","MF","N","NoDiff","NoDiff"
2022,"SGV 86",1,"W","SG","Y","NoDiff","NoDiff"
2022,"SGV 90",1,"W","SF","N","NoDiff","NoDiff"
2022,"SGV 91",1,"W","MF","N","NoDiff","NoDiff"
2022,"SGV 96",1,"W","MF","Y","NoDiff","NoDiff"
2022,"SGV AD1",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD10",1,"E","SF","N","Loss","NoDiff"
2022,"SGV AD11",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD12",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD13",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD14",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD15",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD16",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD17",1,"E","SF","N","NoDiff","Loss"
2022,"SGV AD18",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD19",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD2",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD20",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD21",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD22",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD23",1,"E","MF","N","NoDiff",NA
2022,"SGV AD24",1,"E","MF","N","NoDiff",NA
2022,"SGV AD27",1,"W","MF","N","NoDiff","NoDiff"
2022,"SGV AD3",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD5",1,"E","SG","Y","Gain","Gain"
2022,"SGV AD6",1,"E","SF","Y","NoDiff","NoDiff"
2022,"SGV AD7",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD8",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV AD9",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV CG1",1,"E","SG","Y","NoDiff","NoDiff"
2022,"SGV CG2",1,"E","SG","Y","NoDiff","NoDiff"
2022,"SGV CG3",1,"E","SG","Y","NoDiff","NoDiff"
2022,"SGV CG4",1,"E","SG","Y","NoDiff","NoDiff"
2022,"SGV COR",1,"E","SG","Y","NoDiff","NoDiff"
2022,"SGV FP",1,"E","SG","Y","NoDiff","NoDiff"
2022,"SGV LS1",1,"E","SF","Y","NoDiff","NoDiff"
2022,"SGV LS2",1,"E","SF","Y","Gain","NoDiff"
2022,"SGV LS3",1,"E","SG","Y","Gain","NoDiff"
2022,"SGV LS4",1,"E","SF","Y","Gain","NoDiff"
2022,"SGV SAND",1,"E","SF","N","NoDiff","NoDiff"
2022,"SGV SU1",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV SU2",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV SU4",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV SU5",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV SU6",1,"E","MF","N","Loss","NoDiff"
2022,"SGV SU7",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV SU8",1,"E","MF","N","NoDiff","NoDiff"
2022,"SGV WI",1,"E","SF","N","Loss","NoDiff"
