"Site.ID","n.m2"
"SGV 100",0
"SGV 47",9.5
"SGV 48",0.4375
"SGV 49",0.25
"SGV 60",0
"SGV 61",0.25
"SGV 61.5",0.25
"SGV 62",0.3125
"SGV 63",0.125
"SGV 64",0.375
"SGV 65",0.125
"SGV 66",0.25
"SGV 67",0.875
"SGV 68",0.125
"SGV 69",0.5
"SGV 70",0.125
"SGV 71",0.3125
"SGV 72",0
"SGV 72.5",0
"SGV 73",0.125
"SGV 74",1.5
"SGV 75",0.375
"SGV 75.5",0
"SGV 76",0.125
"SGV 77",0.3125
"SGV 78",0.25
"SGV 79",1.0625
"SGV 80",0.0625
"SGV 81",0.5
"SGV 82",1.25
"SGV 83",0.5
"SGV 84",0.375
"SGV 85",0.1875
"SGV 86",0.9375
"SGV 87",0.625
"SGV 88",0.25
"SGV 89",1.25
"SGV 90",0.1875
"SGV 91",0.0625
"SGV 92",0
"SGV 93",0
"SGV 94",0.5625
"SGV 95",0
"SGV 96",0.4
"SGV 97",0.5
"SGV 98",0
"SGV 99",1.5
"SGV AD1",0
"SGV AD10",1.25
"SGV AD11",0.25
"SGV AD12",0.125
"SGV AD13",0.5
"SGV AD14",0
"SGV AD15",0
"SGV AD16",0
"SGV AD17",0.375
"SGV AD18",0
"SGV AD19",0
"SGV AD2",0.625
"SGV AD20",0.125
"SGV AD21",0
"SGV AD22",1.625
"SGV AD23",0
"SGV AD24",0.166666666666667
"SGV AD25",4.25
"SGV AD26",0
"SGV AD27",0
"SGV AD28",1
"SGV AD29",2.5
"SGV AD3",0
"SGV AD30",0
"SGV AD4",3.5
"SGV AD5",0.875
"SGV AD6",0.75
"SGV AD7",0.375
"SGV AD8",3.125
"SGV AD9",0.375
"SGV CG1",1
"SGV CG2",1.92857142857143
"SGV CG3",0.285714285714286
"SGV CG4",2
"SGV COR",1
"SGV FP",0.357142857142857
"SGV LS1",1.07142857142857
"SGV LS2",1.57142857142857
"SGV LS3",1.21428571428571
"SGV LS4",1.71428571428571
"SGV SAND",0.857142857142857
"SGV SU1",0
"SGV SU2",0.125
"SGV SU4",0.25
"SGV SU5",0.625
"SGV SU6",0.25
"SGV SU7",0.125
"SGV SU8",0
"SGV WI",3.57142857142857
"TIANA 18",0.5
"TIANA 5",1.5
"TIANA 9",2.5
"TIANAout 1",1
"WEE 11",0
"WEE 1A",0.25
"WEE 6",0.25
"WEEout 1",0
